,TimeStamp,Symbol,Price,Change,Rolling_Avg
0,20/10/2021 | 19:44:34 ,ETH-CAD,5088.75,+330.19 (+6.94%),
1,20/10/2021 | 19:45:25 ,ETH-CAD,5091.88,+331.26 (+6.96%),
2,20/10/2021 | 19:46:16 ,ETH-CAD,5091.88,+331.26 (+6.96%),
3,20/10/2021 | 19:47:08 ,ETH-CAD,5089.76,+314.32 (+6.58%),
4,20/10/2021 | 19:47:59 ,ETH-CAD,5086.96,+294.32 (+6.14%),5089.846
5,20/10/2021 | 19:48:50 ,ETH-CAD,5086.86,+288.40 (+6.01%),5089.468
6,20/10/2021 | 19:49:41 ,ETH-CAD,5085.95,+295.12 (+6.16%),5088.282
7,20/10/2021 | 19:50:33 ,ETH-CAD,5083.31,+299.71 (+6.27%),5086.567999999999
8,20/10/2021 | 19:51:24 ,ETH-CAD,5088.07,+300.68 (+6.28%),5086.2300000000005
9,20/10/2021 | 19:52:16 ,ETH-CAD,5088.07,+300.68 (+6.28%),5086.452
10,20/10/2021 | 19:53:07 ,ETH-CAD,5087.08,+297.29 (+6.21%),5086.496
